id,manufacturer,name,certification_id,assurance_level,certification_date,archived_date,remark
125,飞天诚信科技股份有限公司,"蓝牙型智能密码钥匙 bInterPass V6.6",CNITSEC2020PRD1030,EAL4+,2020/12/25,2023/12/24,NULL
126,中兴通讯股份有限公司,"GoldenDB V5分布式存储引擎KM关键模块",CNITSEC2020I&amp;OE0036,自主原创,2020/9/25,2023/9/24,NULL
127,北京芯盾时代科技有限公司,"持续自适应安全平台 V3.0",CNITSEC2020PRD1011,EAL3,2020/11/10,2023/11/9,NULL
128,杭州安恒信息技术股份有限公司,"明御数据库审计与风险控制系统（千兆）V 4.0",CNITSEC2020PRD1012,EAL3+,2020/11/5,2023/11/4,NULL
129,南京联成科技发展股份有限公司,安思易集中管理控制平台V3.0,CNITSEC2020PRD1013,EAL3,2020/11/16,2023/11/15,NULL
130,广东金赋科技股份有限公司,"金赋可信接入系统 V3.0",CNITSEC2020PRD1014,EAL3+,2020/11/17,2023/11/16,NULL
131,北京启明星辰信息安全技术有限公司,天清汉马USG一体化安全网关V2.6(千兆）,CNITSEC2020PRD1015,EAL3+,2020/12/4,2023/12/3,NULL
132,北京启明星辰信息安全技术有限公司,天清汉马USG一体化安全网关V2.6(万兆）,CNITSEC2020PRD1016,EAL3+,2020/12/4,2023/12/3,NULL
133,北京网御星云信息技术有限公司,网御安全网关系统V3.0（千兆）,CNITSEC2020PRD1017,EAL3+,2020/12/4,2023/12/3,NULL
134,北京网御星云信息技术有限公司,网御安全网关系统V3.0（万兆）,CNITSEC2020PRD1018, EAL3+,2020/12/4,2023/12/3,NULL
135,北京启明星辰信息安全技术有限公司,天清安全隔离与信息交换系统V2.6,CNITSEC2020PRD1019,EAL3+,2020/12/2,2023/12/1,NULL
136,北京网御星云信息技术有限公司,网御安全隔离与信息交换系统V1.0,CNITSEC2020PRD1020,EAL3+,2020/12/2,2023/12/1,NULL
137,北京启明星辰信息安全技术有限公司,天清汉马工业防火墙系统V5.0,CNITSEC2020PRD1021,EAL3+,2020/11/13,2023/11/12,NULL
138,北京网御星云信息技术有限公司,网御工业防火墙系统V5.0,CNITSEC2020PRD1022,EAL3+,2020/11/13,2023/11/12,NULL
139,同略科技有限公司,同略数字化加工管理软件V2.0,CNITSEC2020PRD1003,EAL1,2020/9/8,2023/9/7,NULL
140,新华三技术有限公司,"H3C SecPath F1000防火墙 (千兆）/Comware V7",CNITSEC2020PRD1004,EAL4+,2020/10/20,2023/10/19,NULL
141,新华三技术有限公司,"H3C SecPath F5000防火墙 (万兆）/Comware V7",CNITSEC2020PRD1005,EAL4+,2020/10/20,2023/10/19,NULL
142,新华三技术有限公司,"H3C SecPath M9000安全网关（防火墙）(万兆）/Comware V7.1",CNITSEC2020PRD1006,EAL4+,2020/10/20,2023/10/19,NULL
143,华为终端有限公司,"华为移动智能终端操作系统 EMUI 10.1",CNITSEC2020PRD1007,EAL4+,2020/10/22,2023/10/21,NULL
144,杭州安恒信息技术股份有限公司,明御WEB应用防火墙（千兆）,CNITSEC2020PRD1008,EAL3+,2020/10/26,2023/10/25,NULL
145,珠海汇金科技股份有限公司,"卡钔动态密码锁系统 V1.0",CNITSEC2020PRD1009,EAL1,2020/10/26,2023/10/25,NULL
146,杭州安恒信息技术股份有限公司,"明鉴WEB应用弱点扫描器MatriXay WEBSCAN V6.0.1",CNITSEC2020PRD1010,EAL3+,2020/10/28,2023/10/27,NULL
147,网神信息技术（北京）股份有限公司,"网神SecWAF3600 Web应用防火墙系统（千兆/V4.0）",CNITSEC2020PRD1002,EAL3+,2020/9/28,2023/9/27,NULL
148,网神信息技术（北京）股份有限公司,"网神SecDDoS 3600抗拒绝服务系统（千兆）V4.0",CNITSEC2020PRD0995,EAL3+,2020/8/17,2023/8/16,NULL
149,北京神州绿盟科技有限公司,"绿盟WEB应用漏洞扫描系统 V6.0",CNITSEC2020PRD0996,EAL3+,2020/8/28,2023/8/27,NULL
150,北京宏思电子技术有限责任公司,"USBKey 芯片 HSC32K1",CNITSEC2020PRD0997,EAL4+,2020/8/31,2023/8/30,NULL
151,国民技术股份有限公司,智能密码钥匙芯片N32S032,CNITSEC2020PRD0998,EAL5+,2020/9/2,2023/9/1,NULL
152,北京启明星辰信息安全技术有限公司,"天清入侵防御系统 V6.0（千兆）",CNITSEC2020PRD0999,EAL3+,2020/9/9,2023/9/8,NULL
153,北京网御星云信息技术有限公司,网御安全管理系统V3.0,CNITSEC2020PRD1000,EAL3+,2020/9/10,2023/9/9,NULL
154,北京启明星辰信息安全技术有限公司,泰合信息安全运营中心系统V3.0,CNITSEC2020PRD1001,EAL3+,2020/9/10,2023/9/9,NULL
155,网神信息技术（北京）股份有限公司,"网神SecIPS 3600入侵防御系统(千兆/V1.1)",CNITSEC2020PRD0988,EAL3+,2020/7/3,2023/7/2,NULL
156,网神信息技术（北京）股份有限公司,"网神SecIDS 3600入侵检测系统(千兆/V4.0)",CNITSEC2020PRD0989,EAL3+,2020/7/3,2023/7/2,NULL
157,网神信息技术（北京）股份有限公司,"奇安信网神数据库审计与防护系统DAS（千兆） V6.0",CNITSEC2020PRD0990,EAL3+,2020/7/16,2023/7/15,NULL
158,南京飞搏数据技术有限公司,"飞搏数据光码单向传输系统 V2.0",CNITSEC2020PRD0991,EAL1,2020/8/12,2023/8/11,NULL
159,北京东土军悦科技有限公司,信息接入网关R0002,CNITSEC2020PRD0992,EAL1,2020/8/12,2023/8/11,NULL
160,山东中创软件商用中间件股份有限公司,"InforGuard网页防篡改系统 V5",CNITSEC2020PRD0993,EAL1,2020/8/11,2023/8/10,NULL
161,杭州迪普科技股份有限公司,"迪普异常流量检测与清洗系统DPtech Guard3000（万兆）V1.0",CNITSEC2020PRD0994,EAL3+,2020/8/13,2023/8/12,NULL
162,华为技术有限公司,"HUAWEI USG6000E 防火墙（千兆）V6",CNITSEC2020PRD0983,EAL4+,2020/6/1,2023/5/31,NULL
163,华为技术有限公司,"HUAWEI USG6000E 防火墙（万兆）V6",CNITSEC2020PRD0984,EAL4+,2020/6/1,2023/5/31,NULL
